実施_年月日,熊本県,熊本市
2020-01-31,1,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,1
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,1
2020-02-16,2,0
2020-02-17,0,2
2020-02-18,4,2
2020-02-19,1,2
2020-02-20,3,1
2020-02-21,3,9
2020-02-22,6,8
2020-02-23,5,3
2020-02-24,5,9
2020-02-25,9,10
2020-02-26,10,8
2020-02-27,7,9
2020-02-28,11,15
2020-02-29,9,7
2020-03-01,2,6
2020-03-02,7,18
2020-03-03,7,8
2020-03-04,8,9
2020-03-05,31,15
2020-03-06,50,6
2020-03-07,72,8
2020-03-08,37,3
2020-03-09,39,9
2020-03-10,9,14
2020-03-11,11,10
2020-03-12,6,7
2020-03-13,8,8
2020-03-14,5,2
2020-03-15,3,7
2020-03-16,13,9
2020-03-17,12,17
2020-03-18,6,11
2020-03-19,16,9
2020-03-20,4,8
2020-03-21,5,3
2020-03-22,4,5
2020-03-23,13,9
2020-03-24,16,8
2020-03-25,13,15
2020-03-26,16,49
2020-03-27,16,84
2020-03-28,24,42
2020-03-29,12,46
2020-03-30,29,48
2020-03-31,16,48
2020-04-01,27,27
2020-04-02,18,43
2020-04-03,17,36
2020-04-04,22,38
2020-04-05,5,211
2020-04-06,23,28
2020-04-07,59,52
2020-04-08,28,62
2020-04-09,29,32
2020-04-10,38,37
2020-04-11,17,38
2020-04-12,49,26
2020-04-13,119,25
2020-04-14,101,59
2020-04-15,104,36
2020-04-16,55,49
2020-04-17,45,38
2020-04-18,37,46
2020-04-19,14,53
2020-04-20,20,29
2020-04-21,24,32
2020-04-22,29,32
2020-04-23,20,31
2020-04-24,28,81
2020-04-25,20,86
2020-04-26,11,63
2020-04-27,17,73
2020-04-28,24,83
2020-04-29,16,23
2020-04-30,12,18
2020-05-01,29,17
2020-05-02,12,24
2020-05-03,10,14
2020-05-04,9,20
2020-05-05,9,21
2020-05-06,15,17
2020-05-07,25,16
2020-05-08,16,24
2020-05-09,15,21
2020-05-10,9,23
2020-05-11,12,11
2020-05-12,16,29
2020-05-13,13,18
2020-05-14,16,17
2020-05-15,12,22
2020-05-16,6,29
2020-05-17,9,7
2020-05-18,2,12
2020-05-19,8,15
2020-05-20,5,17
2020-05-21,5,15
2020-05-22,5,10
2020-05-23,5,11
2020-05-24,1,4
2020-05-25,4,3
2020-05-26,5,10
2020-05-27,3,4
2020-05-28,6,12
2020-05-29,3,5
2020-05-30,4,9
2020-05-31,3,3
2020-06-01,8,1
2020-06-02,11,12
2020-06-03,5,7
2020-06-04,9,7
2020-06-05,7,18
2020-06-06,6,7
2020-06-07,3,2
2020-06-08,12,10
2020-06-09,7,8
2020-06-10,1,9
2020-06-11,4,8
2020-06-12,4,7
2020-06-13,2,2
2020-06-14,4,5
2020-06-15,4,10
2020-06-16,3,5
2020-06-17,6,9
2020-06-18,4,7
2020-06-19,4,5
2020-06-20,1,3
2020-06-21,0,1
2020-06-22,4,5
2020-06-23,32,8
2020-06-24,4,12
2020-06-25,7,8
2020-06-26,8,12
2020-06-27,6,2
2020-06-28,10,1
2020-06-29,7,7
2020-06-30,3,7
2020-07-01,6,8
2020-07-02,9,7
2020-07-03,7,17
2020-07-04,6,2
2020-07-05,4,5
2020-07-06,10,5
2020-07-07,4,10
2020-07-08,10,5
2020-07-09,2,9
2020-07-10,5,11
2020-07-11,6,7
2020-07-12,2,4
2020-07-13,3,6
2020-07-14,309,10
2020-07-15,96,11
2020-07-16,9,10
2020-07-17,4,5
2020-07-18,3,10
2020-07-19,5,2
2020-07-20,15,25
2020-07-21,8,11
2020-07-22,21,30
2020-07-23,146,22
2020-07-24,87,14
2020-07-25,23,10
2020-07-26,73,81
2020-07-27,144,46
2020-07-28,200,76
2020-07-29,339,72
2020-07-30,207,61
2020-07-31,278,91
2020-08-01,249,63
2020-08-02,138,53
2020-08-03,76,68
2020-08-04,257,134
2020-08-05,239,118
2020-08-06,393,132
2020-08-07,126,121
2020-08-08,147,99
2020-08-09,174,57
2020-08-10,99,13
2020-08-11,80,54
2020-08-12,93,81
2020-08-13,62,110
2020-08-14,52,136
2020-08-15,28,102
2020-08-16,34,65
2020-08-17,33,76
2020-08-18,74,140
2020-08-19,45,84
2020-08-20,46,83
2020-08-21,275,93
2020-08-22,128,68
2020-08-23,47,120
2020-08-24,32,59
2020-08-25,116,107
2020-08-26,64,120
2020-08-27,35,139
